İlçe,Nüfus
Erzurum(Pazaryolu)-1865,3803
Erzurum(Şenkaya)-1657,16035
Erzurum(Tekman)-1674,23195
Erzurum(Tortum)-1683,15259
Erzurum(Uzundere)-1851,7625
Erzurum(Yakutiye)-2045,190373
Eskişehir(Alpu)-1759,9966
Eskişehir(Beylikova)-1777,5781
Eskişehir(Çifteler)-1255,14906
Eskişehir(Günyüzü)-1934,5155
Eskişehir(Han)-1939,2052
Eskişehir(İnönü)-1808,6173
Eskişehir(Mahmudiye)-1508,7575
Eskişehir(Mihalgazi)-1973,2987
Eskişehir(Mihalıççık)-1527,7659
Eskişehir(Odunpazarı)-2046,422423
Eskişehir(Sarıcakaya)-1599,4621
Eskişehir(Seyitgazi)-1618,12587
Eskişehir(Sivrihisar)-1632,20087
Eskişehir(Tepebaşı)-2047,384645
Gaziantep(Araban)-1139,32933
Gaziantep(İslahiye)-1415,67650
Gaziantep(Karkamış)-1956,9379
Gaziantep(Nizip)-1546,148386
Gaziantep(Nurdağı)-1974,41322
Gaziantep(Oğuzeli)-1549,33397
Gaziantep(Şahinbey)-1841,941055
Gaziantep(Şehitkamil)-1844,857167
Gaziantep(Yavuzeli)-1720,22762
Giresun(Alucra)-1133,8574
Giresun(Bulancak)-1212,69415
Giresun(Çamoluk)-1893,6469
Giresun(Çanakçı)-1894,5981
Giresun(Dereli)-1272,18696
Giresun(Doğankent)-1912,6715
Giresun(Espiye)-1320,37775
Giresun(Eynesil)-1324,12471
Giresun(Görele)-1361,30973
Giresun(Güce)-1930,7806
Giresun(Keşap)-1465,19596
Giresun(Merkez)-1352,145361
Giresun(Piraziz)-1837,13825
Giresun(Şebinkarahisar)-1654,19625
Giresun(Tirebolu)-1678,32576
Giresun(Yağlıdere)-1854,15004
Gümüşhane(Kelkit)-1458,41233
Gümüşhane(Köse)-1822,6830
Gümüşhane(Kürtün)-1971,11913
Gümüşhane(Merkez)-1369,54462
Gümüşhane(Şiran)-1660,19346
Gümüşhane(Torul)-1684,10760
Hakkari(Çukurca)-1261,14333
Hakkari(Derecik)-2107,23461
Hakkari(Merkez)-1377,77329
Hakkari(Şemdinli)-1656,42471
Hakkari(Yüksekova)-1737,117739
Hatay(Altınözü)-1131,60344
Hatay(Antakya)-2080,399045
Hatay(Arsuz)-2081,101233
Hatay(Belen)-1887,34449
Hatay(Defne)-2082,165494
Hatay(Dörtyol)-1289,128941
Hatay(Erzin)-1792,41558
Hatay(Hassa)-1382,56675
Hatay(İskenderun)-1413,251682
Hatay(Kırıkhan)-1468,121028
Hatay(Kumlu)-1970,13333
Hatay(Payas)-2083,43919
Hatay(Reyhanlı)-1585,108092
Hatay(Samandağ)-1591,123447
Hatay(Yayladağı)-1721,36803
Iğdır(Aralık)-1142,20133
Iğdır(Karakoyunlu)-2011,13565
Iğdır(Merkez)-1398,147197
Iğdır(Tuzluca)-1692,22699
Isparta(Aksu)-1755,4131
Isparta(Atabey)-1154,5970
Isparta(Eğirdir)-1297,30854
Isparta(Gelendost)-1341,14678
Isparta(Gönen)-1929,6883
Isparta(Keçiborlu)-1456,13830
Isparta(Merkez)-1401,268595
Isparta(Şarkikaraağaç)-1651,24660
Isparta(Senirkent)-1615,10720
Isparta(Sütçüler)-1648,9869
Isparta(Uluborlu)-1699,6554
Isparta(Yalvaç)-1717,45931
Isparta(Yenişarbademli)-2001,2650
İstanbul(Adalar)-1103,16690
İstanbul(Arnavutköy)-2048,326452
İstanbul(Ataşehir)-2049,423127
İstanbul(Avcılar)-2003,452132
İstanbul(Bağcılar)-2004,740069
İstanbul(Bahçelievler)-2005,594350
İstanbul(Bakırköy)-1166,226685
İstanbul(Başakşehir)-2050,514900
İstanbul(Bayrampaşa)-1886,275314
İstanbul(Beşiktaş)-1183,175190
İstanbul(Beykoz)-1185,247875
İstanbul(Beylikdüzü)-2051,412835
İstanbul(Beyoğlu)-1186,225920
İstanbul(Büyükçekmece)-1782,277181
İstanbul(Çatalca)-1237,77468
İstanbul(Çekmeköy)-2052,296066
İstanbul(Esenler)-2016,445421
İstanbul(Esenyurt)-2053,983571
İstanbul(Eyüpsultan)-1325,422913
İstanbul(Fatih)-1327,368227
İstanbul(Gaziosmanpaşa)-1336,495998
İstanbul(Güngören)-2010,282692
İstanbul(Kadıköy)-1421,483064
İstanbul(Kağıthane)-1810,455943
İstanbul(Kartal)-1449,483418
İstanbul(Küçükçekmece)-1823,808957
İstanbul(Maltepe)-2012,528544
İstanbul(Pendik)-1835,750435
İstanbul(Sancaktepe)-2054,489848
İstanbul(Sarıyer)-1604,350454
İstanbul(Şile)-1659,43464
İstanbul(Silivri)-1622,217163
İstanbul(Şişli)-1663,276528
İstanbul(Sultanbeyli)-2014,358201
İstanbul(Sultangazi)-2055,542531
İstanbul(Tuzla)-2015,288878
İstanbul(Ümraniye)-1852,732379
İstanbul(Üsküdar)-1708,524452
İstanbul(Zeytinburnu)-1739,292616
İzmir(Aliağa)-1128,104828
İzmir(Balçova)-2006,80721
İzmir(Bayındır)-1178,40073
İzmir(Bayraklı)-2056,298519
İzmir(Bergama)-1181,105754
İzmir(Beydağ)-1776,12030
İzmir(Bornova)-1203,454470
İzmir(Buca)-1780,522404
İzmir(Çeşme)-1251,48924
İzmir(Çiğli)-2007,214065
İzmir(Dikili)-1280,47360
İzmir(Foça)-1334,34946
İzmir(Gaziemir)-2009,137754
İzmir(Güzelbahçe)-2018,37753
İzmir(Karabağlar)-2057,479338
İzmir(Karaburun)-1432,12200
İzmir(Karşıyaka)-1448,346264
İzmir(Kemalpaşa)-1461,114250
İzmir(Kınık)-1467,28694
İzmir(Kiraz)-1477,43510
İzmir(Konak)-1819,332277
İzmir(Menderes)-1826,106173
İzmir(Menemen)-1521,200904
İzmir(Narlıdere)-2013,62923
İzmir(Ödemiş)-1563,132740
İzmir(Seferihisar)-1611,54993
İzmir(Selçuk)-1612,38151
İzmir(Tire)-1677,87462
İzmir(Torbalı)-1682,207840
İzmir(Urla)-1703,74736
Kahramanmaraş(Afşin)-1107,80044
Kahramanmaraş(Andırın)-1136,31224
Kahramanmaraş(Çağlayancerit)-1785,22350
Kahramanmaraş(Dulkadiroğlu)-2084,226409
Kahramanmaraş(Ekinözü)-1919,10290
Kahramanmaraş(Elbistan)-1299,141307
Kahramanmaraş(Göksun)-1353,50676
Kahramanmaraş(Nurhak)-1975,12257
Kahramanmaraş(Onikişubat)-2085,453730
Kahramanmaraş(Pazarcık)-1570,70173
Kahramanmaraş(Türkoğlu)-1694,78976
Karabük(Eflani)-1296,8352
Karabük(Eskipazar)-1321,12767
Karabük(Merkez)-1433,137428
Karabük(Ovacık)-1561,3731
Karabük(Safranbolu)-1587,70409
Karabük(Yenice)-1856,19371
Karaman(Ayrancı)-1768,7608
Karaman(Başyayla)-1884,3432
Karaman(Ermenek)-1316,27776
Karaman(Kazımkarabekir)-1862,4531
